Country,iso3c,Year,OVERALL SCORE
Kuwait,KWT,2019,40.1
Kyrgyz Republic,KGZ,2019,43
Laos,LAO,2019,32.8
Latvia,LVA,2019,59.8
Lebanon,LBN,2019,36.8
Lesotho,LSO,2019,32.6
Liberia,LBR,2019,34.5
Libya,LBY,2019,23.3
Liechtenstein,LIE,2019,45
Lithuania,LTU,2019,54.9
Luxembourg,LUX,2019,48.6
Madagascar,MDG,2019,30.9
Malawi,MWI,2019,27.8
Malaysia,MYS,2019,55.1
Maldives,MDV,2019,30.8
Mali,MLI,2019,30.6
Malta,MLT,2019,39.3
Marshall Islands,MHL,2019,18.8
Mauritania,MRT,2019,25.4
Mauritius,MUS,2019,38.3
Mexico,MEX,2019,55.1
"Micronesia, Federated States of",FSM,2019,30.5
Moldova,MDA,2019,40.8
Monaco,MCO,2019,33.8
Mongolia,MNG,2019,40.9
Montenegro,MNE,2019,40.8
Morocco,MAR,2019,35.6
Mozambique,MOZ,2019,29.6
Myanmar,MMR,2019,37.8
Namibia,NAM,2019,30.9
Nauru,NRU,2019,19.5
Nepal,NPL,2019,35.6
Netherlands,NLD,2019,67.7
New Zealand,NZL,2019,55.8
Nicaragua,NIC,2019,40
Niger,NER,2019,29.7
Nigeria,NGA,2019,37
Niue,NIU,2019,21.7
North Korea,PRK,2019,18.9
North Macedonia,MKD,2019,40.1
Norway,NOR,2019,61.4
Oman,OMN,2019,40.9
Pakistan,PAK,2019,31.3
Palau,PLW,2019,19.9
Panama,PAN,2019,50.4
Papua New Guinea,PNG,2019,26.3
Paraguay,PRY,2019,39.8
Peru,PER,2019,53.8
Philippines,PHL,2019,43.5
Poland,POL,2019,54.3
Portugal,PRT,2019,58.7
Qatar,QAT,2019,45.1
Romania,ROU,2019,45.5
Russia,RUS,2019,47.1
Rwanda,RWA,2019,31.1
Samoa,WSM,2019,29.7
San Marino,SMR,2019,32.2
São Tomé and Príncipe,STP,2019,20.9
Saudi Arabia,SAU,2019,45
Senegal,SEN,2019,35.9
Serbia,SRB,2019,45
Seychelles,SYC,2019,33.2
Sierra Leone,SLE,2019,34.1
Singapore,SGP,2019,55.8
Slovakia,SVK,2019,52
Slovenia,SVN,2019,68.6
Solomon Islands,SLB,2019,21.8
Somalia,SOM,2019,17.9
South Africa,ZAF,2019,47.5
South Korea,KOR,2019,65.9
South Sudan,SSD,2019,21.6
Spain,ESP,2019,60.4
Sri Lanka,LKA,2019,33.1
St Kitts & Nevis,KNA,2019,30.8
St Lucia,LCA,2019,34.2
St Vincent & The Grenadines,VCT,2019,32.7
Sudan,SDN,2019,30
Suriname,SUR,2019,33.2
Sweden,SWE,2019,66.4
Switzerland,CHE,2019,60.4
Syria,SYR,2019,18.7
Tajikistan,TJK,2019,29.8
Tanzania,TZA,2019,32.2
Thailand,THA,2019,68.9
Timor-Leste,TLS,2019,24.2
Togo,TGO,2019,26.1
Tonga,TON,2019,24.5
Trinidad and Tobago,TTO,2019,37.7
Tunisia,TUN,2019,32.1
Turkey,TUR,2019,49.8
Turkmenistan,TKM,2019,33.3
Tuvalu,TUV,2019,20.2
Uganda,UGA,2019,39
Ukraine,UKR,2019,36.9
